Supermarket,Product Searched,Product Name,Price,Quantity,Date
Carrefour,Pınar 1 litre süt,Pınar Süt 1 Litre,45 TL,1 L,2025-03-20
Carrefour,normal ekmek,Normal Ekmek 200 g,"12,00 TL",200 g,2025-03-20
Carrefour,1kg Dana Kıyma,Dana Kıyma (%5-%7 Yağ) Kg,"788,90 TL",Unknown,2025-03-20
Carrefour,1kg Un,Söke Tam Buğday Un 1 Kg,"54,95 TL",1 Kg,2025-03-20
Carrefour,Ayçiçek Yağı 1 Litre,Yudum Ayçiçek Yağı 1 Litre,"125,95 TL",1 L,2025-03-20
Carrefour,Yumurta,Carrefour Yumurta 15'li L Boy,"97,50 TL",Unknown,2025-03-20
Carrefour,kapya biber,Kapya Biber kg,"115,90 TL",Unknown,2025-03-20
AH,Arla volle melk,Arla Biologisch volle melk,1.99,1 l,2025-03-20
AH,AH Vloerbrood wit heel,AH Vloerbrood wit heel,2.69,per stuk,2025-03-20
AH,1kg Rundergehakt,AH Rundergehakt,8.99,1000 g,2025-03-20
AH,1kg meel,Peak's Psylliumvezels glutenvrij,6.09,200 g,2025-03-20
AH,1lt Zonnebloemolie,AH Biologisch Zonnebloemolie,2.15,1 l,2025-03-20
AH,eieren 10,Natuurfarm de Boed 10 scharrel eieren S M L,3.59,10 stuks,2025-03-20
AH,Sweet palermo rode puntpaprika 250gr,AH Sweet palermo rode puntpaprika,1.89,2 stuks,2025-03-20
